Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles,Age_Bins,Miles_Bins,Income_Bins
TM195,19,Male,15,Single,2,3,31836,75,18-20,51-100,0-50k
TM195,19,Female,14,Partnered,4,3,30699,66,18-20,51-100,0-50k
TM195,19,Male,12,Single,3,3,32973,85,18-20,51-100,0-50k
TM195,20,Female,14,Partnered,3,3,32973,66,18-20,51-100,0-50k
TM195,21,Female,14,Partnered,3,3,35247,75,21-30,51-100,0-50k
TM195,21,Male,13,Single,3,3,32973,85,21-30,51-100,0-50k
TM195,21,Female,15,Partnered,2,3,37521,85,21-30,51-100,0-50k
TM195,22,Male,14,Single,3,3,36384,85,21-30,51-100,0-50k
TM195,22,Female,16,Single,4,3,36384,75,21-30,51-100,0-50k
TM195,22,Female,14,Single,3,3,35247,75,21-30,51-100,0-50k
TM195,23,Male,16,Partnered,3,3,40932,75,21-30,51-100,0-50k
TM195,23,Male,16,Partnered,4,3,39795,94,21-30,51-100,0-50k
TM195,23,Male,16,Single,4,3,40932,94,21-30,51-100,0-50k
TM195,24,Female,16,Single,4,3,42069,94,21-30,51-100,0-50k
TM195,24,Female,16,Single,4,3,46617,75,21-30,51-100,0-50k
TM195,25,Female,14,Partnered,3,3,48891,75,21-30,51-100,0-50k
TM195,25,Male,14,Partnered,2,3,45480,56,21-30,51-100,0-50k
TM195,25,Female,14,Partnered,3,3,39795,85,21-30,51-100,0-50k
TM195,25,Male,16,Single,3,3,43206,85,21-30,51-100,0-50k
TM195,26,Male,16,Partnered,3,3,51165,85,21-30,51-100,51k-100k
TM195,26,Female,16,Single,3,3,36384,66,21-30,51-100,0-50k
TM195,26,Male,16,Single,3,3,50028,85,21-30,51-100,51k-100k
TM195,27,Male,16,Single,4,3,54576,85,21-30,51-100,51k-100k
TM195,27,Female,14,Partnered,2,3,45480,56,21-30,51-100,0-50k
TM195,28,Female,14,Partnered,2,3,46617,56,21-30,51-100,0-50k
TM195,28,Female,16,Partnered,2,3,52302,66,21-30,51-100,51k-100k
